symbol,price,price_change,price_change_percent,volume,quote_volume,high,low,open,weighted_avg_price,count,timestamp
BTCUSDT,79274.46,-1675.07,-2.069,23067.5605,1862707006.9125924,82048.13,78659.0,80949.53,80750.06487628,3812247,2026-05-15 22:58:56
ETHUSDT,2216.03,-71.0,-3.104,347059.9537,787049688.644103,2319.33,2205.11,2287.03,2267.76290452,3386094,2026-05-15 22:58:56
BNBUSDT,676.73,-1.55,-0.229,193117.283,131616560.82789,689.98,670.0,678.28,681.53693333,1194370,2026-05-15 22:58:56
SOLUSDT,89.19,-3.02,-3.275,3138488.326,287423651.72779,93.68,88.55,92.21,91.58028384,837718,2026-05-15 22:58:56
XRPUSDT,1.4407,-0.0312,-2.12,233097142.3,346814374.9359,1.5496,1.4275,1.4719,1.4878534,1289982,2026-05-15 22:58:56
DOGEUSDT,0.11201,-0.00299,-2.6,2186092284.0,251019187.47006,0.11861,0.11093,0.115,0.11482552,1447850,2026-05-15 22:58:56
PEPEUSDT,3.88e-06,-2.4e-07,-5.825,11538272728430.0,46776393.07699362,4.22e-06,3.82e-06,4.12e-06,4.05e-06,115193,2026-05-15 22:58:56
FLOKIUSDT,3.294e-05,-2.38e-06,-6.738,149282510062.0,5139828.15686705,3.597e-05,3.239e-05,3.532e-05,3.443e-05,982121,2026-05-15 22:58:56
SHIBUSDT,6.11e-06,-2.6e-07,-4.082,1589048247982.0,9987096.80695448,6.49e-06,6.03e-06,6.37e-06,6.28e-06,109555,2026-05-15 22:58:56
TRUMPUSDT,2.239,-0.153,-6.396,6179402.759,14417829.055786,2.447,2.2,2.392,2.33320753,139211,2026-05-15 22:58:56
